file,channel,AUC,Resilience_Index,Transitions
sub-VP01_task-pain_nirs.snirf,S3_D3 850,-0.33141410869589805,40.427385892116185,240.0
sub-VP01_task-pain_nirs.snirf,S3_D4 850,-0.0017099888237089855,9201.5,1.0
sub-VP01_task-pain_nirs.snirf,S3_D16 850,-0.032472000008003724,700.0384615384615,25.0
sub-VP01_task-pain_nirs.snirf,S4_D2 850,-0.11270189083507946,100.00621118012423,160.0
sub-VP01_task-pain_nirs.snirf,S4_D4 850,0.0026047007302983493,9201.5,1.0
sub-VP01_task-pain_nirs.snirf,S4_D5 850,-0.09245162694629391,67.3607305936073,218.0
sub-VP01_task-pain_nirs.snirf,S4_D14 850,-0.050065474822718295,3045.6666666666665,5.0
sub-VP01_task-pain_nirs.snirf,S4_D17 850,-0.031074600209533537,93.04093567251462,170.0
sub-VP01_task-pain_nirs.snirf,S5_D4 850,-0.013394939657193287,4592.75,3.0
sub-VP01_task-pain_nirs.snirf,S5_D6 850,-0.12504362862812932,35.84860557768924,250.0
sub-VP01_task-pain_nirs.snirf,S5_D7 850,-0.005092882135686585,9201.5,1.0
sub-VP01_task-pain_nirs.snirf,S5_D18 850,-0.08938351125412891,179.89583333333334,95.0
sub-VP01_task-pain_nirs.snirf,S6_D5 850,-0.053582012052672226,2292.125,7.0
sub-VP01_task-pain_nirs.snirf,S6_D7 850,-0.16164264637129583,69.39449541284404,217.0
sub-VP01_task-pain_nirs.snirf,S6_D8 850,-0.024120525842336527,4588.25,3.0
sub-VP01_task-pain_nirs.snirf,S7_D6 850,-0.2449526988900147,40.37931034482759,318.0
sub-VP01_task-pain_nirs.snirf,S7_D7 850,0.02800079537759881,40.94736842105263,284.0
sub-VP01_task-pain_nirs.snirf,S8_D7 850,-0.04901674269064665,84.0855614973262,186.0
sub-VP01_task-pain_nirs.snirf,S8_D8 850,-0.0478409487332621,4577.5,3.0
sub-VP01_task-pain_nirs.snirf,S9_D8 850,-0.0060288202877074384,150.79646017699116,112.0
sub-VP01_task-pain_nirs.snirf,S9_D9 850,-0.008673636395049696,4584.0,3.0
sub-VP01_task-pain_nirs.snirf,S9_D10 850,-0.035924707251352966,2287.625,7.0
sub-VP01_task-pain_nirs.snirf,S9_D19 850,-0.0692163802035326,57.04602510460251,238.0
sub-VP01_task-pain_nirs.snirf,S10_D5 850,-0.04103863068316202,248.8,69.0
sub-VP01_task-pain_nirs.snirf,S10_D8 850,-0.025863420792621744,287.7903225806452,61.0
sub-VP01_task-pain_nirs.snirf,S10_D10 850,0.023065582265570185,1135.6875,15.0
sub-VP01_task-pain_nirs.snirf,S10_D14 850,0.04828795802661194,406.6136363636364,43.0
sub-VP01_task-pain_nirs.snirf,S10_D20 850,0.046359130952476346,60.72803347280335,238.0
sub-VP01_task-pain_nirs.snirf,S11_D9 850,-0.019369652319389086,172.17171717171718,98.0
sub-VP01_task-pain_nirs.snirf,S11_D10 850,-0.08012888181336202,115.83687943262412,140.0
sub-VP01_task-pain_nirs.snirf,S11_D15 850,-0.0973016477191241,60.15481171548117,238.0
sub-VP01_task-pain_nirs.snirf,S12_D2 850,-0.12879397016530597,1654.1818181818182,10.0
sub-VP01_task-pain_nirs.snirf,S12_D11 850,0.0012801613653266562,4580.0,3.0
sub-VP01_task-pain_nirs.snirf,S12_D12 850,0.015119839623460644,1522.25,11.0
sub-VP01_task-pain_nirs.snirf,S12_D14 850,-0.06001448989782327,336.3207547169811,52.0
sub-VP01_task-pain_nirs.snirf,S12_D21 850,0.36724904143698567,41.125475285171106,262.0
sub-VP01_task-pain_nirs.snirf,S13_D11 850,0.025149228791232492,82.84656084656085,188.0
sub-VP01_task-pain_nirs.snirf,S13_D13 850,-0.035235267749699255,1304.2857142857142,13.0
sub-VP01_task-pain_nirs.snirf,S13_D15 850,-0.08282091781513978,142.01680672268907,118.0
sub-VP01_task-pain_nirs.snirf,S14_D11 850,-0.001203295754845235,3054.8333333333335,5.0
